id ,el alimento            ,el tipo             ,la temperatura 
   ,alforfón               ,cereal              ,fresco         
   ,arroz                  ,cereal              ,neutro         
   ,arroz dulce            ,cereal              ,templado       
   ,arroz silvestre        ,cereal              ,fresco         
   ,avena                  ,cereal              ,templado       
   ,cebada                 ,cereal              ,fresco         
   ,centeno                ,cereal              ,neutro         
   ,germen de trigo        ,cereal              ,frio           
   ,linaza                 ,cereal              ,neutro         
   ,lino                   ,cereal              ,neutro         
   ,maíz                   ,cereal              ,neutro         
   ,mijo (millo)           ,cereal              ,fresco         
   ,quínoa                 ,cereal              ,templado       
   ,sorgo                  ,cereal              ,templado       
   ,salvado de trigo       ,cereal              ,fresco         
   ,trigo                  ,cereal              ,fresco         
   ,aceite de cacahuete    ,aceite y condimento ,neutro         
   ,aceite de oliva        ,aceite y condimento ,neutro         
   ,aceite de sésamo       ,aceite y condimento ,fresco         
   ,aceite de soya         ,aceite y condimento ,templado       
   ,agar                   ,aceite y condimento ,frio           
   ,azúcar blanca          ,aceite y condimento ,neutro         
   ,azúcar de malta        ,aceite y condimento ,templado       
   ,azúcar moreno          ,aceite y condimento ,templado       
   ,jarabe de arroz        ,aceite y condimento ,templado       
   ,kuzu                   ,aceite y condimento ,fresco         
   ,melaza                 ,aceite y condimento ,templado       
   ,miel                   ,aceite y condimento ,neutro         
   ,miso                   ,aceite y condimento ,templado       
   ,sal                    ,aceite y condimento ,frio           
   ,salsa de soya          ,aceite y condimento ,fresco         
   ,vinagre                ,aceite y condimento ,templado       
   ,fríjol azuki           ,alubio              ,neutro         
   ,fríjol negro           ,alubio              ,templado       
   ,fríjol rojo            ,alubio              ,neutro         
   ,garbanzo               ,alubio              ,neutro         
   ,guisante               ,alubio              ,neutro         
   ,haba                   ,alubio              ,neutro         
   ,judía blanca           ,alubio              ,fresco         
   ,lenteja                ,alubio              ,neutro         
   ,soya amarilla          ,alubio              ,fresco         
   ,soya negra             ,alubio              ,neutro         
   ,soya verde             ,alubio              ,fresco         
   ,tofu                   ,alubio              ,fresco         
   ,anís estrellado        ,bebida              ,templado       
   ,bebida de saúco        ,bebida              ,fresco         
   ,café                   ,bebida              ,templado       
   ,cerveza                ,bebida              ,fresco         
   ,crisantemo             ,bebida              ,fresco         
   ,escaramujo             ,bebida              ,neutro         
   ,flor de lima           ,bebida              ,fresco         
   ,hoja de frambuesa      ,bebida              ,fresco         
   ,jazmín                 ,bebida              ,templado       
   ,leche de soya          ,bebida              ,neutro         
   ,melisa/torontil        ,bebida              ,fresco         
   ,menta/poleo            ,bebida              ,fresco         
   ,manzanilla             ,bebida              ,fresco         
   ,raiz de diente de lon  ,bebida              ,frio           
   ,té                     ,bebida              ,fresco         
   ,vino                   ,bebida              ,templado       
   ,carne de vaca          ,carne               
   ,cerdo                  ,carne               
   ,codorniz               ,carne               
   ,conejo                 ,carne               
   ,cordero                ,carne               
   ,faisán                 ,carne               
   ,ganso                  ,carne               
   ,gorrríon               ,carne               
   ,hígado de cerdo        ,carne               
   ,hígado de cordero      ,carne               
   ,hígado de pollo        ,carne               
   ,hígado de vaca         ,carne               
   ,jamón                  ,carne               
   ,oveja                  ,carne               
   ,paloma                 ,carne               
   ,pato                   ,carne               
   ,pavo                   ,carne               
   ,pollo                  ,carne               
   ,riñón de cerdo         ,carne               
   ,riñón de cordero       ,carne               
   ,riñón de vaca          ,carne               
   
   ,aguacate               ,fruta               
   ,albaricoque            ,fruta               
   ,arándano               ,fruta               
   ,arándano azul          ,fruta               
   ,banana (plátano)       ,fruta               
   ,caqui                  ,fruta               
   ,cereza                 ,fruta               
   ,ciruela                ,fruta               
   ,coco                   ,fruta               
   ,dátil                  ,fruta               
   ,frambuesa              ,fruta               
   ,frambuesa de longan    ,fruta               
   ,fresa                  ,fruta               
   ,granada                ,fruta               
   ,grosella               ,fruta               
   ,grosella espinosa      ,fruta               
   ,higo                   ,fruta               
   ,lichi                  ,fruta               
   ,lima                   ,fruta               
   ,limón                  ,fruta               
   ,mandarina              ,fruta               
   ,mango                  ,fruta               
   ,manzana                ,fruta               
   ,manzana silvestre      ,fruta               
   ,melocotón              ,fruta               
   ,melón                  ,fruta               
   ,membrillo              ,fruta               
   ,mora                   ,fruta               
   ,mora negra             ,fruta               
   ,naranja                ,fruta               
   ,papaya                 ,fruta               
   ,pera                   ,fruta               
   ,piña                   ,fruta               
   ,pomelo                 ,fruta               
   ,ruibardo               ,fruta               
   ,sandía                 ,fruta               
   ,uva                    ,fruta               
   
   ,ajedrea                ,hierbo y especio    
   ,ajo                    ,hierbo y especio    
   ,albahaca               ,hierbo y especio    
   ,alcaravea              ,hierbo y especio    
   ,algarroba              ,hierbo y especio    
   ,anís                   ,hierbo y especio    
   ,azafrán                ,hierbo y especio    
   ,canela en roma         ,hierbo y especio    
   ,cardamomo              ,hierbo y especio    
   ,corteza de canela      ,hierbo y especio    
   ,cayena                 ,hierbo y especio    
   ,chile                  ,hierbo y especio    
   ,clavo                  ,hierbo y especio    
   ,comino                 ,hierbo y especio    
   ,cúrcuma                ,hierbo y especio    
   ,enebro                 ,hierbo y especio    
   ,espino                 ,hierbo y especio    
   ,jengibre fresco        ,hierbo y especio    
   ,jengibre seco          ,hierbo y especio    
   ,hoja de cebollino      ,hierbo y especio    
   ,laurel                 ,hierbo y especio    
   ,mejorana               ,hierbo y especio    
   ,menta                  ,hierbo y especio    
   ,mostaza                ,hierbo y especio    
   ,nuez moscada           ,hierbo y especio    
   ,orégano                ,hierbo y especio    
   ,ortiga                 ,hierbo y especio    
