id  ,el alimento            ,el tipo ,la temperatura 
  1 ,alforfón               ,      1 ,             4 
  2 ,arroz                  ,      1 ,             3 
  3 ,arroz dulce            ,      1 ,             2 
  4 ,arroz silvestre        ,      1 ,             4 
  5 ,avena                  ,      1 ,             2 
  6 ,cebada                 ,      1 ,             4 
  7 ,centeno                ,      1 ,             3 
  8 ,germen de trigo        ,      1 ,             5 
  9 ,linaza                 ,      1 ,             3 
 10 ,lino                   ,      1 ,             3 
 11 ,maíz                   ,      1 ,             3 
 12 ,mijo (millo)           ,      1 ,             4 
 13 ,quínoa                 ,      1 ,             2 
 14 ,sorgo                  ,      1 ,             2 
 15 ,salvado de trigo       ,      1 ,             4 
 16 ,trigo                  ,      1 ,             4 
 17 ,aceite de cacahuete    ,      2 ,             3 
 18 ,aceite de oliva        ,      2 ,             3 
 19 ,aceite de sésamo       ,      2 ,             4 
 20 ,aceite de soya         ,      2 ,             2 
 21 ,agar                   ,      2 ,             5 
 22 ,azúcar blanca          ,      2 ,             3 
 23 ,azúcar de malta        ,      2 ,             2 
 24 ,azúcar moreno          ,      2 ,             2 
 25 ,jarabe de arroz        ,      2 ,             2 
 26 ,kuzu                   ,      2 ,             4 
 27 ,melaza                 ,      2 ,             2 
 28 ,miel                   ,      2 ,             3 
 29 ,miso                   ,      2 ,             2 
 30 ,sal                    ,      2 ,             5 
 31 ,salsa de soya          ,      2 ,             4 
 32 ,vinagre                ,      2 ,             2 
 33 ,fríjol azuki           ,      3 ,             3 
 34 ,fríjol negro           ,      3 ,             2 
 35 ,fríjol rojo            ,      3 ,             3 
 36 ,garbanzo               ,      3 ,             3 
 37 ,guisante               ,      3 ,             3 
 38 ,haba                   ,      3 ,             3 
 39 ,judía blanca           ,      3 ,             4 
 40 ,lenteja                ,      3 ,             3 
 41 ,soya amarilla          ,      3 ,             4 
 42 ,soya negra             ,      3 ,             3 
 43 ,soya verde             ,      3 ,             4 
 44 ,tofu                   ,      3 ,             4 
 45 ,anís estrellado        ,      4 ,             2 
 46 ,bebida de saúco        ,      4 ,             4 
 47 ,café                   ,      4 ,             2 
 48 ,cerveza                ,      4 ,             4 
 49 ,crisantemo             ,      4 ,             4 
 50 ,escaramujo             ,      4 ,             3 
 51 ,flor de lima           ,      4 ,             4 
 52 ,hoja de frambuesa      ,      4 ,             4 
 53 ,jazmín                 ,      4 ,             2 
 54 ,leche de soya          ,      4 ,             3 
 55 ,melisa/torontil        ,      4 ,             4 
 56 ,menta/poleo            ,      4 ,             4 
 57 ,manzanilla             ,      4 ,             4 
 58 ,raiz de diente de lon  ,      4 ,             5 
 59 ,té                     ,      4 ,             4 
 60 ,vino                   ,      4 ,             2 
 61 ,carne de vaca          ,      5 ,             3 
 62 ,cerdo                  ,      5 ,             3 
 63 ,codorniz               ,      5 ,             3 
